center,,steering
4PUlEeHpak.png,5.56398788376E-007,0.000005564
0eYAro8pDZ.png,-5.5469979543E-007,-0.000005547
jDd61YUXez.png,-5.54679502329E-007,-5.54679502329E-006
WRgAE6wToM.png,-5.54778466721E-007,-5.54778466721E-006
JzRkZ7u7Yb.png,-5.54710027245E-007,-5.54710027245E-006
nHz7nJZ6Zp.png,-5.54679274956E-007,-5.54679274956E-006
MWJgpELrmF.png,-0.0003127065,-0.003127065
RIlfy9co9l.png,0.0003186922,0.003186922
P698zWKEnH.png,-1.47467408169E-005,-0.0001474674
h77lTijaVQ.png,-8.27493840916E-006,-8.27493840916E-005
qnoERcNi3L.png,-6.20418950348E-006,-6.20418950348E-005
z2COxUDRRs.png,-3.11674284603E-006,-3.11674284603E-005
nMMYWiQv4i.png,-2.11182714338E-006,-2.11182714338E-005
Jh92QCeoZV.png,-0.000001004,-0.00001004
ehYZY744OL.png,-5.55465874186E-007,-5.55465874186E-006
TtnJHy4vL0.png,5.54910684514E-007,5.54910684514E-006
4QzUL911Xe.png,-5.55184328732E-007,-5.55184328732E-006
TrArfcCWB8.png,-5.54799498786E-007,-0.000005548
8PYS12456O.png,-5.54860434931E-007,-5.54860434931E-006
lu1w47EOva.png,-5.55156702831E-007,-5.55156702831E-006
oi2qp7Qeh0.png,5.56055795187E-007,5.56055795187E-006
WuXwb4Eb3P.png,5.55414885639E-007,5.55414885639E-006
HLp7aJGkWe.png,-5.54764540084E-007,-5.54764540084E-006
ox5mAKOj8M.png,5.5610206573E-007,0.000005561
tpAIrWpoqd.png,-5.54825305699E-007,-5.54825305699E-006
alOFQSoSaz.png,-5.54770394956E-007,-5.54770394956E-006
7IhtcaVk59.png,-3.32435120072E-005,-0.0003324351
qAu764r3B3.png,-1.17858180602E-005,-0.0001178582
rHOY8zrBxv.png,-0.00000816,-0.0000816
inTogJEW1t.png,-3.85109160561E-006,-3.85109160561E-005
D0KbEAByUN.png,-1.8066461962E-006,-1.8066461962E-005
zIpA89Dc5n.png,-1.24490895814E-006,-1.24490895814E-005
qLnvuGTd7d.png,-6.01395754529E-007,-0.000006014
wnZ2HvB7Nm.png,-5.56552549824E-007,-5.56552549824E-006
jWkj9mBcIj.png,-1.26614065721E-006,-1.26614065721E-005
kH5d0fDYsn.png,-9.57767497312E-007,-9.57767497312E-006
ne0hJHDQ0P.png,-5.82463371757E-007,-5.82463371757E-006
EaMxIk5fZz.png,0.0001457707,0.001457707
ILbZ5251WR.png,0.0001077422,0.001077422
qJj8b6xdTE.png,-3.34434275828E-006,-3.34434275828E-005
SCK8oxGfob.png,1.42761473398E-005,0.0001427615
PNvQikfYOj.png,9.76246064965E-006,9.76246064965E-005
wEsoqw5egA.png,4.81515189676E-006,4.81515189676E-005
eRRPHa7FoV.png,3.25210658048E-006,3.25210658048E-005
a9QGz3Oe9g.png,1.55417706083E-006,1.55417706083E-005
XxeRpIRBUU.png,1.06042341486E-006,1.06042341486E-005
afYlUJgHh5.png,5.74155080812E-007,5.74155080812E-006
8412zRuy53.png,5.72874057525E-007,5.72874057525E-006
JWrkbe2e9D.png,5.73389911551E-007,5.73389911551E-006
Z7ZyJUzlUX.png,-5.73369220547E-007,-5.73369220547E-006
3289xLMzyh.png,-5.74432931444E-007,-5.74432931444E-006
0sNzigBWR2.png,-5.74544344545E-007,-5.74544344545E-006
H2uvVLjvfZ.png,-5.73882402932E-007,-5.73882402932E-006
1u0PMhcuE5.png,-0.0001109668,-0.001109668
maMJgPv3eL.png,0.0002095462,0.002095462
a0Rh9sS6Ed.png,1.55796733452E-005,0.0001557967
nuMkZoIHe3.png,-1.05209414869E-006,-1.05209414869E-005
beAIyquqY9.png,6.4872360781E-006,6.4872360781E-005
Vy6sVTu9Yh.png,4.89062085762E-006,4.89062085762E-005
qvN2e0ZS6D.png,2.03340664484E-006,2.03340664484E-005
oBEkBSFRZ5.png,1.367541131E-006,1.367541131E-005
AMKiXQdSdW.png,6.00422538355E-007,6.00422538355E-006
LM1MhF5eJT.png,-5.54851681045E-007,-5.54851681045E-006
uWooL4X8jP.png,-5.54867938263E-007,-5.54867938263E-006
j7SuKao51u.png,5.54832183752E-007,5.54832183752E-006
6E0Whaiube.png,-5.55214739961E-007,-5.55214739961E-006
